round,client_id,aggregation_weight,global_accuracy_vanilla,global_accuracy_weighted
1,1,0.09348356241349567,0.5139826422372228,0.5419479267116682
1,2,0.05108025182036676,0.5139826422372228,0.5419479267116682
1,3,0.025680119982955052,0.5139826422372228,0.5419479267116682
1,4,0.03338587054929447,0.5139826422372228,0.5419479267116682
1,5,0.04238531725958827,0.5139826422372228,0.5419479267116682
1,6,0.022369509061272386,0.5139826422372228,0.5419479267116682
1,7,0.03735534738734995,0.5139826422372228,0.5419479267116682
1,8,0.024195589912056094,0.5139826422372228,0.5419479267116682
1,9,0.01731879569362826,0.5139826422372228,0.5419479267116682
1,10,0.01633533345971298,0.5139826422372228,0.5419479267116682
1,11,0.04189766801306121,0.5139826422372228,0.5419479267116682
1,12,0.020579288051521736,0.5139826422372228,0.5419479267116682
1,13,0.03126309919269513,0.5139826422372228,0.5419479267116682
1,14,0.02010847668754415,0.5139826422372228,0.5419479267116682
1,15,0.02729847775708398,0.5139826422372228,0.5419479267116682
1,16,0.035255334873931246,0.5139826422372228,0.5419479267116682
1,17,0.04197349172649852,0.5139826422372228,0.5419479267116682
1,18,0.035833734864290694,0.5139826422372228,0.5419479267116682
1,19,0.027324814926057074,0.5139826422372228,0.5419479267116682
1,20,0.03184118397569846,0.5139826422372228,0.5419479267116682
1,21,0.03425828170751148,0.5139826422372228,0.5419479267116682
1,22,0.01104987566778858,0.5139826422372228,0.5419479267116682
1,23,0.02179197199313822,0.5139826422372228,0.5419479267116682
1,24,0.032480816341142506,0.5139826422372228,0.5419479267116682
1,25,0.0672779069166361,0.5139826422372228,0.5419479267116682
1,26,0.046267261004426685,0.5139826422372228,0.5419479267116682
1,27,0.026715776668714428,0.5139826422372228,0.5419479267116682
1,28,0.027154076433073077,0.5139826422372228,0.5419479267116682
1,29,0.031138987202836806,0.5139826422372228,0.5419479267116682
1,30,0.02489977845662985,0.5139826422372228,0.5419479267116682
2,1,0.06493308897758789,0.5385728061716489,0.5766634522661523
2,2,0.04579399200025595,0.5385728061716489,0.5766634522661523
2,3,0.017418667724051033,0.5385728061716489,0.5766634522661523
2,4,0.031748065199083485,0.5385728061716489,0.5766634522661523
2,5,0.02533484874640494,0.5385728061716489,0.5766634522661523
2,6,0.02871160535455403,0.5385728061716489,0.5766634522661523
2,7,0.026012550497338714,0.5385728061716489,0.5766634522661523
2,8,0.03611430565913141,0.5385728061716489,0.5766634522661523
2,9,0.01102420285846827,0.5385728061716489,0.5766634522661523
2,10,0.038855780547794774,0.5385728061716489,0.5766634522661523
2,11,0.01553210124743094,0.5385728061716489,0.5766634522661523
2,12,0.018963635086485738,0.5385728061716489,0.5766634522661523
2,13,0.013099654859159484,0.5385728061716489,0.5766634522661523
2,14,0.0607458464499518,0.5385728061716489,0.5766634522661523
2,15,0.017129248246013234,0.5385728061716489,0.5766634522661523
2,16,0.03447661120549809,0.5385728061716489,0.5766634522661523
2,17,0.06172756139515578,0.5385728061716489,0.5766634522661523
2,18,0.060133876226045414,0.5385728061716489,0.5766634522661523
2,19,0.03271541094717691,0.5385728061716489,0.5766634522661523
2,20,0.027545402469167653,0.5385728061716489,0.5766634522661523
2,21,0.030341267137064896,0.5385728061716489,0.5766634522661523
2,22,0.01668700448535459,0.5385728061716489,0.5766634522661523
2,23,0.03425292618169739,0.5385728061716489,0.5766634522661523
2,24,0.03870619158739469,0.5385728061716489,0.5766634522661523
2,25,0.027042048845023172,0.5385728061716489,0.5766634522661523
