scenario,n_clients,v_empty,v_full,marginal_total,phi_sum,phi_std,phi_min,phi_max,time_seconds,unique_coalitions,theoretical_max_coalitions,efficiency_ratio
scenario_1_same_dist_same_size,10,0.18581560283687942,0.8950354609929078,0.7092198581560283,0.7076122931442079,0.011484266642118364,0.04747044917257685,0.08742316784869975,752.1943066120148,144,1024,0.140625
scenario_2_diff_dist_same_size,10,0.18581560283687942,0.8851063829787233,0.699290780141844,0.6986761229314421,0.01970287198313073,0.03328605200945627,0.10141843971631205,668.8556356430054,132,1024,0.12890625
scenario_3_same_dist_diff_size,10,0.18581560283687942,0.8851063829787233,0.699290780141844,0.6973995271867613,0.008999860589185421,0.05744680851063831,0.08756501182033095,429.27687335014343,118,1024,0.115234375
scenario_4_noisy_labels,10,0.18581560283687942,0.8893617021276595,0.70354609929078,0.7028368794326242,0.010639038587294211,0.05531914893617021,0.0852955082742317,532.5322873592377,105,1024,0.1025390625
scenario_5_noisy_features,10,0.18581560283687942,0.8950354609929078,0.7092198581560283,0.7076122931442079,0.011766652586184423,0.04595744680851063,0.08784869976359336,3671.181544303894,145,1024,0.1416015625
