round,accuracy,gain,abs_gain,phi_min,phi_max,phi_abs_mean,all_zero
1,0.5139826422372228,,,-0.0041538090646094,0.0303399228543876,0.013669800707168058,0
2,0.5385728061716489,0.024590163934426146,0.024590163934426146,-0.0183871745419479,0.0127531340405014,0.006084538733526149,0
3,0.6200578592092575,0.08148505303760856,0.08148505303760856,-0.0158269045323047,0.0214054966248794,0.007803921568627396,0
4,0.7092574734811957,0.08919961427193823,0.08919961427193823,-0.0104315332690453,0.0156702025072324,0.005052153648344531,0
5,0.7420443587270974,0.032786885245901676,0.032786885245901676,-0.0146118611378977,0.0181388621022179,0.0048592896174862845,0
6,0.7642237222757956,0.022179363548698205,0.022179363548698205,-0.0119889103182256,0.0101518804243008,0.0033418514946961836,0
7,0.7695274831243973,0.005303760848601735,0.005303760848601735,0.0,0.0,0.0,1
8,0.813404050144648,0.04387656702025067,0.04387656702025067,-0.0101253616200578,0.0150096432015429,0.0054574091931854215,0
9,0.7974927675988428,-0.015911282545805205,0.015911282545805205,0.0,0.0,0.0,1
10,0.8326904532304725,0.03519768563162973,0.03519768563162973,-0.0154243008678881,0.0084498553519768,0.0039042912246865465,0
11,0.8326904532304725,0.0,0.0,0.0,0.0,0.0,1
12,0.8326904532304725,0.0,0.0,0.0,0.0,0.0,1
13,0.8355834136933462,0.002892960462873684,0.002892960462873684,0.0,0.0,0.0,1
14,0.8220829315332691,-0.013500482160077154,0.013500482160077154,0.0,0.0,0.0,1
15,0.8514946962391514,0.02941176470588236,0.02941176470588236,-0.0147275795564127,0.0173216007714561,0.004534795885567286,0
16,0.8563162970106075,0.004821600771456103,0.004821600771456103,0.0,0.0,0.0,1
17,0.817261330761813,-0.039054966248794565,0.039054966248794565,-0.0185270009643201,0.0051976856316297,0.0037962070073930747,0
18,0.837029893924783,0.019768563162970043,0.019768563162970043,0.0,0.0,0.0,1
19,0.8524590163934426,0.015429122468659573,0.015429122468659573,0.0,0.0,0.0,1
20,0.8683702989392478,0.015911282545805205,0.015911282545805205,0.0,0.0,0.0,1
21,0.8418514946962391,-0.026518804243008676,0.026518804243008676,-0.0115573770491803,0.0081316297010607,0.0046056734169076935,0
22,0.8635486981677917,0.021697203471552573,0.021697203471552573,-0.0056798457087753,0.0064754098360655,0.002994937319189918,0
23,0.8659594985535197,0.0024108003857280513,0.0024108003857280513,0.0,0.0,0.0,1
24,0.8558341369334619,-0.010125361620057838,0.010125361620057838,0.0,0.0,0.0,1
25,0.8674059787849566,0.011571841851494735,0.011571841851494735,0.0,0.0,0.0,1
26,0.869334619093539,0.0019286403085824189,0.0019286403085824189,0.0,0.0,0.0,1
27,0.8712632594021215,0.0019286403085824189,0.0019286403085824189,0.0,0.0,0.0,1
28,0.866923818707811,-0.00433944069431047,0.00433944069431047,0.0,0.0,0.0,1
29,0.8707810993249759,0.0038572806171649487,0.0038572806171649487,0.0,0.0,0.0,1
30,0.8659594985535197,-0.004821600771456214,0.004821600771456214,0.0,0.0,0.0,1
31,0.8727097396335584,0.0067502410800386325,0.0067502410800386325,0.0,0.0,0.0,1
32,0.8741562198649951,0.0014464802314367864,0.0014464802314367864,0.0,0.0,0.0,1
33,0.8736740597878495,-0.00048216007714563247,0.00048216007714563247,0.0,0.0,0.0,1
34,0.8751205400192864,0.0014464802314368974,0.0014464802314368974,0.0,0.0,0.0,1
35,0.875602700096432,0.00048216007714563247,0.00048216007714563247,0.0,0.0,0.0,1
36,0.8799421407907425,0.00433944069431047,0.00433944069431047,0.0,0.0,0.0,1
37,0.875602700096432,-0.00433944069431047,0.00433944069431047,0.0,0.0,0.0,1
38,0.8760848601735777,0.00048216007714563247,0.00048216007714563247,0.0,0.0,0.0,1
39,0.8765670202507232,0.00048216007714552145,0.00048216007714552145,0.0,0.0,0.0,1
40,0.875602700096432,-0.0009643201542911539,0.0009643201542911539,0.0,0.0,0.0,1
41,0.8828351012536162,0.007232401157184154,0.007232401157184154,0.0,0.0,0.0,1
42,0.8828351012536162,0.0,0.0,0.0,0.0,0.0,1
43,0.8895853423336548,0.0067502410800386325,0.0067502410800386325,0.0,0.0,0.0,1
44,0.8852459016393442,-0.004339440694310581,0.004339440694310581,0.0,0.0,0.0,1
45,0.8852459016393442,0.0,0.0,0.0,0.0,0.0,1
46,0.8871745419479267,0.0019286403085824189,0.0019286403085824189,0.0,0.0,0.0,1
47,0.8886210221793636,0.0014464802314368974,0.0014464802314368974,0.0,0.0,0.0,1
48,0.8886210221793636,0.0,0.0,0.0,0.0,0.0,1
49,0.8862102217936355,-0.0024108003857280513,0.0024108003857280513,0.0,0.0,0.0,1
50,0.8881388621022179,0.0019286403085824189,0.0019286403085824189,0.0,0.0,0.0,1
