round,client_id,shapley_value,model_accuracy
1,1,0.03033992285438767,0.5139826422372228
1,2,0.022502410800385723,0.5139826422372228
1,3,0.010055448408871742,0.5139826422372228
1,4,0.014983124397299903,0.5139826422372228
1,5,0.019293635486981705,0.5139826422372228
1,6,0.009893924783027969,0.5139826422372228
1,7,0.01811475409836066,0.5139826422372228
1,8,0.008985053037608487,0.5139826422372228
1,9,0.0029918032786885214,0.5139826422372228
1,10,0.00202266152362584,0.5139826422372228
1,11,0.018310028929604618,0.5139826422372228
1,12,0.006868370298939248,0.5139826422372228
1,13,0.013649951783992283,0.5139826422372228
1,14,0.008078592092574733,0.5139826422372228
1,15,0.012625361620057866,0.5139826422372228
1,16,0.015687078109932487,0.5139826422372228
1,17,0.018818707810993252,0.5139826422372228
1,18,0.013958534233365478,0.5139826422372228
1,19,0.012384281581485055,0.5139826422372228
1,20,0.015875120540019282,0.5139826422372228
1,21,0.017058823529411755,0.5139826422372228
1,22,-0.004153809064609449,0.5139826422372228
1,23,0.008662005785920922,0.5139826422372228
1,24,0.013804243008678876,0.5139826422372228
1,25,0.026581485053037625,0.5139826422372228
1,26,0.020291706846673082,0.5139826422372228
1,27,0.009816779170684669,0.5139826422372228
1,28,0.012181774349083893,0.5139826422372228
1,29,0.01331243972999036,0.5139826422372228
1,30,0.008792189006750245,0.5139826422372228
2,1,0.011128254580520743,0.5385728061716489
2,2,0.008196721311475396,0.5385728061716489
2,3,-0.00633076181292189,0.5385728061716489
2,4,0.0016730954676952745,0.5385728061716489
2,5,0.0005424300867888139,0.5385728061716489
2,6,0.0004556412729026005,0.5385728061716489
2,7,-0.00013982642237222897,0.5385728061716489
2,8,0.003495660559305688,0.5385728061716489
2,9,-0.018387174541947923,0.5385728061716489
2,10,0.0052434908389585345,0.5385728061716489
2,11,-0.012157666345226619,0.5385728061716489
2,12,-0.003787367405978787,0.5385728061716489
2,13,-0.01464079074252652,0.5385728061716489
2,14,0.01270491803278688,0.5385728061716489
2,15,-0.006834619093539058,0.5385728061716489
2,16,0.004640790742526523,0.5385728061716489
2,17,0.012107039537126336,0.5385728061716489
2,18,0.009708293153326903,0.5385728061716489
2,19,0.0019045323047251694,0.5385728061716489
2,20,-0.0005713596914175519,0.5385728061716489
2,21,-0.0024252651880424286,0.5385728061716489
2,22,-0.009701060752169722,0.5385728061716489
2,23,0.006673095467695274,0.5385728061716489
2,24,0.006395853423336545,0.5385728061716489
2,25,-0.002321600771456123,0.5385728061716489
2,26,0.012753134040501444,0.5385728061716489
2,27,0.004527483124397293,0.5385728061716489
2,28,0.0011523625843780107,0.5385728061716489
2,29,-0.0005785920925747322,0.5385728061716489
2,30,-0.0013572806171648997,0.5385728061716489
3,1,0.01804484088717453,0.6200578592092575
3,2,0.011019768563162958,0.6200578592092575
3,3,-0.009286403085824495,0.6200578592092575
3,4,0.0017912246865959547,0.6200578592092575
3,5,0.0032883317261330767,0.6200578592092575
3,6,-0.0013428158148505265,0.6200578592092575
3,7,-0.007982160077145608,0.6200578592092575
3,8,0.004045323047251698,0.6200578592092575
3,9,0.006723722275795557,0.6200578592092575
3,10,0.004228543876567026,0.6200578592092575
3,11,0.008027965284474452,0.6200578592092575
3,12,-0.01503857280617164,0.6200578592092575
3,13,-0.015826904532304738,0.6200578592092575
3,14,0.012319189971070397,0.6200578592092575
3,15,0.010617164898746381,0.6200578592092575
3,16,0.0016465766634522698,0.6200578592092575
