round,acc_vanilla,acc_shapley,acc_fedprox
0,0.11137897782063645,0.11137897782063645,0.11137897782063645
1,0.5139826422372228,0.5332690453230472,0.5149469623915139
2,0.5385728061716489,0.5438765670202508,0.5380906460945034
3,0.6200578592092575,0.6943105110896818,0.6157184185149469
4,0.7092574734811957,0.7246865959498554,0.7073288331726133
5,0.7420443587270974,0.7410800385728061,0.7410800385728061
6,0.7642237222757956,0.7748312439729991,0.7647058823529411
7,0.7695274831243973,0.7680810028929604,0.7695274831243973
8,0.813404050144648,0.8418514946962391,0.8114754098360656
9,0.7974927675988428,0.8379942140790743,0.7955641272902604
10,0.8326904532304725,0.8317261330761813,0.8302796528447445
11,0.8326904532304725,0.8326904532304725,0.8322082931533269
12,0.8331726133076182,0.8317261330761813,0.8326904532304725
13,0.8355834136933462,0.834619093539055,0.8341369334619093
14,0.8220829315332691,0.8216007714561234,0.819672131147541
15,0.8514946962391514,0.8582449373191899,0.8505303760848602
16,0.8563162970106075,0.8582449373191899,0.8558341369334619
17,0.817261330761813,0.837029893924783,0.8162970106075217
18,0.837029893924783,0.8360655737704918,0.8341369334619093
19,0.8524590163934426,0.8505303760848602,0.8514946962391514
20,0.8683702989392478,0.8654773384763742,0.8683702989392478
21,0.8418514946962391,0.8563162970106075,0.840887174541948
22,0.8635486981677917,0.8625843780135005,0.8611378977820636
23,0.8659594985535197,0.8659594985535197,0.8654773384763742
24,0.8553519768563163,0.8567984570877532,0.8539054966248795
25,0.8674059787849566,0.866923818707811,0.8664416586306654
26,0.869334619093539,0.8688524590163934,0.8688524590163934
27,0.8712632594021215,0.8707810993249759,0.8707810993249759
28,0.866923818707811,0.8678881388621023,0.8664416586306654
29,0.8707810993249759,0.8712632594021215,0.8707810993249759
30,0.8659594985535197,0.8659594985535197,0.8640308582449373
31,0.8727097396335584,0.8727097396335584,0.8707810993249759
32,0.8741562198649951,0.873191899710704,0.8736740597878495
33,0.8736740597878495,0.873191899710704,0.873191899710704
34,0.8751205400192864,0.875602700096432,0.8746383799421408
35,0.875602700096432,0.8770491803278688,0.875602700096432
36,0.8799421407907425,0.8804243008678881,0.8789778206364514
37,0.875602700096432,0.8775313404050145,0.8760848601735777
38,0.8760848601735777,0.8765670202507232,0.8760848601735777
39,0.8765670202507232,0.8775313404050145,0.8760848601735777
40,0.875602700096432,0.8751205400192864,0.8746383799421408
41,0.8828351012536162,0.8828351012536162,0.8828351012536162
42,0.8828351012536162,0.8823529411764706,0.8823529411764706
43,0.8895853423336548,0.8891031822565092,0.8895853423336548
44,0.8852459016393442,0.8852459016393442,0.8852459016393442
45,0.8852459016393442,0.8857280617164899,0.8847637415621986
46,0.8871745419479267,0.8866923818707811,0.8866923818707811
47,0.8886210221793636,0.8886210221793636,0.8876567020250723
48,0.8886210221793636,0.8881388621022179,0.8876567020250723
49,0.8862102217936355,0.8871745419479267,0.8862102217936355
50,0.8881388621022179,0.8876567020250723,0.8876567020250723
