round,client_id,shapley_value,flagged_status,rolling_variance,trend_slope,z_score
1,1,0.065877534711817,0,,,7.551412256064353
1,9,0.05730696234142443,0,,,6.31829134250451
1,10,0.0006492857856357909,0,,,-1.83352896252047
1,13,0.03424233343322349,0,,,2.9997876252438185
1,16,0.06671661172710025,0,,,7.672137380468823
1,18,0.06185196284087505,0,,,6.972219099695338
1,24,-0.0018979122964738755,0,,,-2.2000159473197223
1,25,0.06014384177404856,0,,,6.726457239300545
1,28,0.03435221256617723,0,,,3.0155968677253533
1,29,0.034621915892518264,0,,,3.0544013719982166
2,1,-0.03008030009964245,0,,,1.7942056831172828
2,9,0.038626106324365514,0,,,5.586008224188037
2,10,0.005286911669890378,0,,,-0.6290222773924159
2,13,0.03289373424769943,0,,,3.5589540270576085
2,16,0.0097649610222144,0,,,4.411132966304749
2,18,0.01489947834241838,0,,,4.390616411322989
2,24,-0.016446867123849726,0,,,-2.2067556176021683
2,25,0.027935056561749026,0,,,5.104128529003079
2,28,0.0005275189027606854,0,,,1.4901669170126375
2,29,-0.021933063712560815,0,,,0.06844589600764328
3,1,0.026381279993205088,0,0.0015506411361202056,-0.952811151149502,-0.6641248578454995
3,9,0.02424087994224317,0,0.0001832527694249378,-0.4127277515075045,3.625254871872906
3,10,-0.021115216375759138,0,0.00013247483261272726,-1.088225108069746,-1.0351775876169498
3,13,0.014872382893786902,0,7.797586758717566e-05,-0.3542918516999146,2.7366646573811866
3,16,0.027409011763706616,0,0.0005666544954957622,-0.5675336241630295,1.9495707180762567
3,18,0.01896632267380135,0,0.0004511392395481378,-0.6720639686762011,1.8096904125150677
3,24,0.0031766254724593496,0,6.916716464608332e-05,0.25372688844666097,-1.0793017732910046
3,25,-0.0009173143075551016,0,0.0006220366590726531,-1.0508268653392934,1.5407666719098483
3,28,-0.00624283348197222,0,0.0003153228151654227,-2.0297523024074717,-0.5138064571459051
3,29,-0.015466938463498557,0,0.0006387966471739707,-2.504442717800841,-2.4676909572383017
4,1,-0.002245862884160745,0,0.0005313532478894164,1.3917218607740864,0.863919209358365
4,9,-0.023887814313346228,0,0.0007145884691456705,-2.405666315051601,-1.14027924150678
4,10,0.04646464646464647,0,0.0007733017855215749,2.0161219860539377,2.4667620747605663
4,13,0.0010423382763808183,0,0.00017006118489581553,-0.9788692050985969,0.5105809579436216
4,16,0.026273372018052885,0,6.501442642308683e-05,0.39028609582109364,3.4053405781841892
4,18,-0.0067698259187620805,0,0.0001276052571508689,-1.0834652130590225,0.057647932052383055
4,24,-0.0013754566946056316,0,7.032781400664842e-05,0.7535705214622049,-0.3501900354602425
4,25,0.03751343219428329,0,0.0002667918734695955,0.22264531168997506,2.8098146430940947
4,28,-0.022200730711369018,0,9.07850539910706e-05,-1.1364124807064853,-2.6878858335654603
4,29,-0.021985815602836883,0,9.367701961808444e-06,-0.0013324365711139523,-3.1819259564177926
5,1,0.0,0,0.00016894768261060567,-1.3190639996602544,-0.5387145083424335
5,9,0.0,1,0.00038606879375457324,-1.212043997112159,-2.4239296910753088
5,10,0.0,0,0.0007968726216897496,1.055760818787958,3.704423735613931
5,13,0.0,0,4.594937512680632e-05,-0.7436191446893453,-0.25228161563326984
5,16,0.0,0,0.0001603148534104356,-0.7658660951552172,1.9455760055468656
5,18,0.0,0,0.00011865569812395541,-0.9483161336900676,-0.9327937496187693
5,24,0.0,0,3.63380917408045e-06,-0.15883127362296756,-0.4628940367429495
5,25,0.0,1,0.0003205579263580555,0.037598836728845356,2.924689749905649
5,28,0.0,0,8.738887755403853e-05,0.3121416740986105,-2.2769690239009988
5,29,0.0,1,8.501089247926496e-05,0.6194579884340632,-2.2582479198023604
6,1,-0.011197219482410412,0,2.3394267686749994e-05,-0.447567829912483,-1.3662156372583383
6,9,-0.0021417500352261566,1,0.00011645623083004777,1.0873032139060037,-0.39443656839373165
6,10,-0.00390775445023719,0,0.0005235125210953005,-1.7754727329886362,-0.5839536482137998
6,13,0.04935418721525527,1,0.0005301063347392778,1.4379517774561377,5.131800833593586
6,16,0.017556714104551223,0,0.00011938982361432925,-0.29831077296262604,1.7194853272588422
6,18,-0.003240805974355357,0,7.643038677975629e-06,0.17645099722033625,-0.5123807084945181
6,24,-0.007683997933399092,0,1.1192599768974967e-05,-0.31542706193967296,-0.9891976167652232
6,25,0.03386407402188721,1,0.0002852612132694867,-0.07669134926086858,3.469494106873945
6,28,-0.022122023390164867,1,0.00010914028420401513,0.0026636652933568652,-2.5386005512516348
6,29,-0.02916725376919823,1,0.00015396420381066952,-0.21058672298227807,-3.2946527313848835
7,1,0.04037825059101654,0,0.0004906455509136842,2.0189125295508257,20187.844338001643
7,9,0.02332545311268715,0,0.00013302692136696036,1.1662726556343572,11662.417377905813
7,10,-0.015382190701339648,0,4.261611365514919e-05,-0.7691095350669822,-7691.594046187407
7,13,-0.03572892040977149,0,0.0012168363058286823,-1.7864460204885733,-17859.24314592152
7,16,0.029345941686367217,0,0.00014537871006494046,0.9385164184684402,14674.7755866415
7,18,0.005642237982663516,0,1.3471793639861974e-05,0.28211189913317564,2820.691868753895
7,24,0.009739952718676118,0,5.083383994760888e-05,0.4869976359338056,4869.072419851926
7,25,0.005027580772261628,0,0.00022262171341301917,0.19390718132999163,2517.3451383683196
7,28,0.023293932230102437,0,0.00034384446916863287,1.1646966115051212,11644.512772630598
7,29,-0.032088258471237203,0,0.00020987969918034093,-0.785764185889594,-16047.338630219356
8,1,0.0,0,0.0004906455509136842,0.5598609741205218,20189.011464975592
8,9,0.0,1,0.00013302692136696038,0.10708750176130832,11662.612725810897
8,10,0.0,0,4.2616113655149196e-05,0.1953877225118591,-7691.209181202502
8,13,0.0,1,0.0012168363058286823,-2.467709360762765,-17864.574035418424
8,16,0.0,1,0.00014537871006494046,-0.5614835815315593,14672.857012650931
8,18,0.0,0,1.3471793639861973e-05,0.16204029871776796,2821.0051607990804
8,24,0.0,0,5.083383994760889e-05,0.38419989666995474,4869.862528805382
8,25,0.0,1,0.0002226217134130192,-1.3060928186700087,2513.6765555981365
8,28,0.0,1,0.0003438444691686328,1.1061011695082439,11646.85228451854
8,29,0.0,1,0.00020987969918034093,0.7142358141104059,-16044.24306615128
9,1,0.0,0,0.0003623118046202061,-1.4999999999999998,-0.11383053267781912
9,9,0.0,0,0.00012090594731381482,-1.1662726556343574,-0.11383053267781912
9,10,0.0,0,5.258039794941777e-05,0.7691095350669824,-0.11383053267781912
9,13,0.0,0,0.00028367905636617465,1.5,-0.11383053267781912
9,16,0.0,0,0.00019137428743548117,-1.4672970843183608,-0.11383053267781912
9,18,0.0,0,7.07441098955797e-06,-0.28211189913317586,-0.11383053267781912
9,24,0.0,0,2.1081484213788067e-05,-0.4869976359338059,-0.11383053267781912
9,25,0.0,0,5.617015204803296e-06,-0.25137903861308136,-0.11383053267781912
9,28,0.0,0,0.00012057939527569,-1.1646966115051216,-0.11383053267781912
9,29,0.0,0,0.00022881251815931692,1.5,-0.11383053267781912
10,1,0.0,0,0.0,0.0,-0.12128140350824676
10,9,0.0,1,0.0,0.0,-0.12128140350824676
10,10,0.0,0,0.0,0.0,-0.12128140350824676
10,13,0.0,1,0.0,0.0,-0.12128140350824676
10,16,0.0,1,0.0,0.0,-0.12128140350824676
10,18,0.0,0,0.0,0.0,-0.12128140350824676
10,24,0.0,0,0.0,0.0,-0.12128140350824676
10,25,0.0,1,0.0,0.0,-0.12128140350824676
10,28,0.0,1,0.0,0.0,-0.12128140350824676
10,29,0.0,1,0.0,0.0,-0.12128140350824676
11,1,0.0,0,0.0,0.0,-0.12128140350824676
11,9,0.0,0,0.0,0.0,-0.12128140350824676
11,10,0.0,0,0.0,0.0,-0.12128140350824676
11,13,0.0,0,0.0,0.0,-0.12128140350824676
11,16,0.0,0,0.0,0.0,-0.12128140350824676
11,18,0.0,0,0.0,0.0,-0.12128140350824676
11,24,0.0,0,0.0,0.0,-0.12128140350824676
11,25,0.0,0,0.0,0.0,-0.12128140350824676
11,28,0.0,0,0.0,0.0,-0.12128140350824676
11,29,0.0,0,0.0,0.0,-0.12128140350824676
12,1,0.008029811275393673,0,1.432841535965319e-05,0.40149056376968345,4014.9056376968365
12,9,0.02755138838802742,0,0.00016868422269065154,1.3775694194013703,13775.69419401371
12,10,0.007909604519774006,0,1.3902631924273193e-05,0.3954802259887002,3954.802259887003
12,13,0.005024642384902024,0,5.610451354700866e-06,0.2512321192451011,2512.321192451012
12,16,0.008077893977641536,0,1.4500526914226086e-05,0.40389469888207663,4038.946988820768
12,18,0.025411708137997344,0,0.00014350109122016899,1.2705854068998668,12705.854068998673
12,24,0.014424810674359906,0,4.623892510913943e-05,0.7212405337179952,7212.405337179954
12,25,-0.013871859598509428,0,4.276188638239071e-05,-0.6935929799254711,-6935.929799254714
12,28,0.009544416396201474,0,2.0243529854239896e-05,0.4772208198100735,4772.208198100738
12,29,-0.012645750691188846,0,3.553666900971182e-05,-0.6322875345594421,-6322.875345594423
13,1,-0.014865248226950347,0,8.995969150924032e-05,-0.743262411347517,-3417.718475778337
13,9,0.011234042553191492,0,0.0001279487210320541,0.4344689080630766,19392.715470609455
13,10,-0.005730496453900703,0,3.127253198215996e-05,-0.286524822695035,1089.5540329366513
13,13,0.011716312056737597,0,2.3033049144885855e-05,0.5858156028368797,8370.47722081981
13,16,-0.0033758865248226994,0,2.3093118749014085e-05,-0.16879432624113477,2351.003726409418
13,18,-0.013843971631205664,0,0.0002642687616842891,-0.6921985815602825,5783.868253395841
13,24,-0.0018156028368794214,0,5.2791400852050775e-05,-0.09078014184397076,6304.603918740243
13,25,-0.02034042553191488,0,7.200041608610515e-05,-0.8918035782047135,-17106.142565212154
13,28,-0.004170212765957444,0,3.295306799033042e-05,-0.20851063829787198,2687.101815122016
13,29,-0.01957446808510639,0,6.567577067592525e-05,-0.9112818982241457,-16110.109388147619
14,1,-0.004952518331530253,0,8.788742729091578e-05,-0.6491164803461965,-9908.8832792403
14,9,0.010674359899026313,0,6.126701226506285e-05,-0.5118408772748491,10954.201226108904
14,10,0.016540449573265996,0,8.405987531715567e-05,0.4315422526745989,5404.976559682646
14,13,0.02014665224185597,0,3.828047341639978e-05,0.6149223770481116,15931.482149296786
14,16,-0.002981127539367714,0,2.8182986596544545e-05,-0.5529510758504625,-3178.5070320952073
14,18,-0.0020435148455343207,0,0.0002704498270631285,-1.3727611491765834,-7943.7432383699925
14,24,0.0047601875225387735,0,4.448855450375325e-05,-0.4832311575910568,1472.2923428296763
14,25,0.010025243418680125,0,0.00017055419207401257,1.1948551508594774,-5157.591056617377
14,28,0.005072725087149888,0,3.261321959726575e-05,-0.22358456545257943,451.25616059622234
14,29,-0.030051688904916447,0,5.119399621465996e-05,-0.4192726430391472,-24813.078495011418
15,1,0.0,0,3.819613962806098e-05,0.7432624113475172,-2476.3370396560754
15,9,0.0,1,2.6717657334914627e-05,-0.5617021276595745,5337.102075622208
15,10,0.0,1,8.915778873765512e-05,0.2865248226950355,8270.14691274205
15,13,0.0,1,6.824780004466184e-05,-0.5515641269410116,10073.248247037038
15,16,0.0,1,2.271062876783726e-06,0.16879432624113494,-1490.6416435748056
15,18,0.0,1,3.7231364866671466e-05,0.6921985815602832,-1021.835296658109
15,24,0.0,1,7.688535306892856e-06,0.09078014184397121,2380.0158873784385
15,25,0.0,1,0.00015959025191558812,1.0170212765957438,5012.543835449114
15,28,0.0,1,1.428390160883985e-05,0.2085106382978723,2536.2846696839956
15,29,0.0,1,0.00015511510699553203,0.5916577850983431,-15025.922326349173
16,1,0.03712828169715065,0,0.0003526478300734384,1.961762315496948,18564.062974684373
16,9,0.010700510140599707,0,2.538261781757251e-05,0.001307512078669545,5350.177196408906
16,10,0.015304217991787964,0,5.659264766099615e-05,-0.05823101680772467,7652.031122003034
16,13,-0.02117705611546597,0,0.00028466713051920824,-2.0661854178660968,-10588.605931623933
16,16,-0.017245240761478164,0,5.6638930704501195e-05,-0.7132056611055221,-8622.698254630031
16,18,0.00739081746920491,0,1.642297355688406e-05,0.4717166157369614,3695.330860711507
16,24,0.022097797685703614,0,9.017386377532207e-05,0.8668805081582418,11048.82096896086
16,25,0.011646136618141087,0,2.652947761069496e-05,0.08104465997304776,5822.990435179595
16,28,-0.01371158392434988,0,6.295448206264458e-05,-0.9392154505749882,-6855.869836065889
16,29,-0.02861764339927833,0,0.00019157000069759754,0.036664270309130456,-14308.899573530114
17,1,0.0,1,0.00030633540039621605,5.069211527026706e-16,18564.267454679743
17,9,0.0,1,2.5444648282017145e-05,2.0136154160369954e-16,5350.381676404273
17,10,0.0,1,5.2048686297814755e-05,2.481366568898445e-16,7652.235601998402
17,13,0.0,1,9.965949015946548e-05,-4.763395756399513e-16,-10588.401451628566
17,16,0.0,1,6.608851753807733e-05,-3.757075508301201e-16,-8622.493774634664
17,18,0.0,1,1.2138707302912105e-05,1.6081072018010724e-16,3695.535340706874
17,24,0.0,1,0.00010851392501295291,2.851582639916323e-16,11049.025448956227
17,25,0.0,1,3.0140555139645932e-05,1.6979796286865355e-16,5823.194915174962
17,28,0.0,1,4.1779451936553354e-05,-2.537820586544737e-16,-6855.665356070522
17,29,0.0,1,0.00018199322527294635,-5.165569403696895e-16,-14308.695093534747
18,1,-0.0017267961763798919,0,0.0003212453559306505,-1.6463325183374085,-863.271482085527
18,9,-0.004526672833795869,0,4.076208728322502e-05,-0.7613591487197786,-2263.2098107935158
18,10,0.008251618871415373,0,3.911638407688278e-05,-0.35262995601862973,4125.936041812105
18,13,-0.010977489978415043,0,7.477823792531925e-05,0.4758067229718366,-5488.618383103103
18,16,0.0006907184705519595,0,6.884156161110625e-05,0.8967979616015063,345.4858413803987
18,18,0.002442183163737292,0,9.453046995288592e-06,-0.247431715273381,1221.218187973065
18,24,-0.002207832254085726,0,0.00012043898139893926,-1.2152814969894672,-1103.789520938444
18,25,0.0018748072772124577,0,2.6069586393776466e-05,-0.48856646704643164,937.5302447106478
18,28,-0.020228183780450198,0,7.107255849496502e-05,-0.28800726832222856,-10113.96528412068
18,29,-0.016749922910884996,0,0.00013781913564883108,0.39238562216201717,-8374.83484933808
19,1,-0.014589665653495442,0,4.236595334453953e-05,-0.7294832826747719,-8158.230914937667
19,9,0.018731003039513687,0,0.00010136230320426912,0.9365501519756838,7102.165102858909
19,10,0.0033181357649442684,0,1.1493166057281818e-05,0.1659067882472135,5784.877318179821
19,13,0.01904761904761904,0,0.0001538693610705173,0.9523809523809514,4035.0645346019974
19,16,0.0027735562310030417,0,1.389768812050924e-06,0.13867781155015207,1732.1373507775006
19,18,0.026443768996960455,0,0.00014236814443104753,1.3221884498480223,14442.976080348873
19,24,0.0094858156028369,0,2.573295790165737e-05,0.47429078014184484,3638.9916743755875
19,25,-0.014146403242147944,0,5.11460903913119e-05,-0.707320162107397,-6135.797982467743
19,28,0.00020263424518743208,0,9.184875609885675e-05,0.010131712259371225,-10012.774767631383
19,29,-0.02018743667679839,0,7.776766866568657e-05,-0.8197974991502834,-18468.679793841693
20,1,-0.007815892314372543,0,2.7601612023648902e-05,-0.3044548068996327,-11202.778983933993
20,9,0.017194963091619626,0,0.00011278981922508364,1.0376811216603443,17962.98306556666
20,10,-0.008250108554059919,0,4.7830060023410194e-05,-0.8250863712737644,-2465.9863945578254
20,13,0.015487045882182667,0,0.00017939516795650236,1.3232267930298856,17267.332464900854
20,16,0.004342162396873644,0,2.2368645763377416e-06,0.18257219631608426,3557.8593139383433
20,18,0.012273845708496177,0,9.705827076717288e-05,0.35829849952144954,19358.807352728316
20,24,0.007034303082935307,0,2.535204215830647e-05,0.4621067668510516,8260.059342886103
20,25,0.007931683311622528,0,8.675631551973956e-05,0.3028438017205032,-3107.3599652627076
20,28,-0.011839629468808809,0,7.031136488816749e-05,0.39487716249308774,-5818.497611810689
20,29,0.004313214647561157,0,0.00011730602000163448,0.9684454993581463,-7937.111014618617
21,1,-0.004964539007092195,1,1.6295253765783617e-05,0.48125633232016224,-3908.306688826787
21,9,0.015498539841468496,1,1.7428987657662507e-06,-0.0942876300970416,8598.929524091158
21,10,-0.004046725073007932,1,2.2859320497261708e-05,-0.36824304189761015,-4125.333693036875
21,13,-0.023821443471005427,1,0.00037728794863576225,-2.1434531259312233,7741.495851887758
21,16,-0.0160826032540676,1,8.613181419176623e-05,-0.9428079742535318,2169.7380615074676
21,18,-0.0034000834376303655,1,0.00014856825655737665,-1.267522871641574,6136.700587892119
21,24,0.016583229036295367,1,1.6396130882602703e-05,0.3216025230913642,3518.6953836796165
21,25,0.005986649979140595,1,9.961832139460923e-05,1.0066526610644269,3966.4489811625704
21,28,-0.004839382561535254,1,2.438238951105528e-05,-0.25210084033613445,-5920.1642048221565
21,29,-0.0036712557363370885,1,0.00010409087949858299,0.8258090470230653,2156.3610914419546
22,1,0.0,1,1.0429448433971813e-05,0.39079461571862717,-0.4619266537973792
22,9,0.0,1,5.986103830926676e-05,-0.7889165223505513,1.3465832680628613
22,10,0.0,1,1.1345411962118267e-05,0.4125054277029958,-0.38081102019712454
22,13,0.0,1,0.0002613852327143156,-0.7743522941091339,-2.128484216857174
22,16,0.0,1,7.718617262271541e-05,-0.21710811984368264,-1.4445319426368393
22,18,0.0,1,4.531999008184593e-05,-0.613692285424809,-0.3236613692514889
22,24,0.0,1,4.61852102217307e-05,-0.3517151541467649,1.4424471986813456
22,25,0.0,1,1.139274808812013e-05,-0.39658416558112614,0.5059303380238508
22,28,0.0,1,2.362221181093005e-05,0.5919814734404402,-0.45086543103370846
22,29,0.0,1,1.0648189620985809e-05,-0.21566073237805797,-0.34762735190611044
23,1,0.01674849972722314,0,8.629054908262353e-05,1.0856519367157664,8374.148468598289
23,9,-0.006901254773595203,0,8.773142816274374e-05,-1.1199897307531852,-3450.728781810884
23,10,0.003491543917075824,0,9.488040234248736e-06,0.3769134495041877,1745.67056352463
23,13,-0.005482815057283143,0,0.00010375863578791779,0.9169314206861142,-2741.5089236548533
23,16,0.016503000545553745,0,0.00017698008104668778,1.629280189981067,8251.398877763591
23,18,0.010447354064375343,0,3.471769996680248e-05,0.6923718751002852,5223.575637174389
23,24,-0.002400436442989624,0,7.123834837960656e-05,-0.9491832739642497,-1200.319616508094
23,25,-0.005210038188761598,0,2.0927811314482144e-05,-0.5598344083951097,-2605.120489394081
23,28,0.01620294599018005,0,8.097051924621291e-05,1.0521164275857648,8101.371600076743
23,29,-0.01726677577741408,0,5.516198106848973e-05,-0.6797760020538492,-8633.489283720322
24,1,-0.021594521887992168,0,0.0002463358805854039,-1.0797260943996076,-2423.0110803845146
24,9,0.011225238444607454,0,5.580033910865674e-05,0.5612619222303725,2161.991835506125
24,10,0.003497187576424533,0,2.7134701911620144e-06,0.17485937882122665,3494.3657467501785
24,13,-0.021985815602836863,0,8.730959729787357e-05,-1.099290780141843,-13734.315330060004
24,16,0.0025189532893127894,0,5.269419226056301e-05,0.12594766446563976,9510.976917433269
24,18,-0.006921007581315725,0,5.0967504349173585e-05,-0.3460503790657859,1763.1732415298088
24,24,0.01570066030814377,0,6.443583698027175e-05,0.7850330154071881,6650.111932577072
24,25,-0.03372462704817802,0,0.0002197307494765122,-1.2992776556422578,-19467.332618469805
24,28,-0.00770359501100514,0,9.926705972173595e-05,-0.38517975055025655,4249.675489587455
24,29,0.0053558327219369,0,9.317876724530785e-05,0.26779163609684453,-5955.47152773859
25,1,0.01052523383698223,0,0.0002822883391952811,-0.31116329451204616,-5534.64402550497
25,9,0.01223147291602426,0,7.72937258940162e-05,0.9566363844809733,11728.355680315857
25,10,-0.0004728132387706567,0,3.4974517758502793e-06,-0.19821785779232398,1512.187168826938
25,13,0.004892589166409705,0,0.00012249407586122516,0.5187702111846418,-8546.61321821358
25,16,0.0011923116455956448,0,4.79700833674361e-05,-0.765534444997905,1855.632467454217
25,18,0.008037825059101654,0,5.9025832249642674e-05,-0.12047645026368459,558.4087388929652
