attacker_ratio,attacked_client_count,detected_client_count,method_precision,method_recall,method_f1,krum_precision,krum_recall,krum_f1,fltrust_precision,fltrust_recall,fltrust_f1,mean_time_to_detection,median_time_to_detection
0.2,6,5,1.0,0.8333333333333334,0.9090909090909091,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,22.0,22.0
0.3,9,6,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,22.0,22.0
