round,client_id,flagged_status,rolling_variance,trend_slope,z_score
1,1,0,,,
1,9,0,,,
1,10,0,,,
1,13,0,,,
1,16,0,,,
1,18,0,,,
1,24,0,,,
1,25,0,,,
1,28,0,,,
1,29,0,,,
2,1,0,,,
2,9,0,,,
2,10,0,,,
2,13,0,,,
2,16,0,,,
2,18,0,,,
2,24,0,,,
2,25,0,,,
2,28,0,,,
2,29,0,,,
3,1,0,0.0015506411361202056,-0.9089556955479934,0.1767961085757272
3,9,0,0.0001832527694249378,-0.4026754371300326,-2.539831636981885
3,10,0,0.00013247483261272726,-1.795847915959703,-10.381576318579187
3,13,0,7.797586758717566e-05,-0.34178867645187694,-27.68497293209941
3,16,0,0.0005666544954957622,-0.5516051784515023,-0.3803715644876647
3,18,0,0.0004511392395481378,-0.6516401682652916,-0.8267324463325042
3,24,0,6.916716464608332e-05,0.4189642313271257,1.6973477450961474
3,25,0,0.0006220366590726531,-1.01586207817417,-2.791410589909331
3,28,0,0.0003153228151654227,-1.9247326048625788,-1.4002373067902842
3,29,0,0.0006387966471739707,-13.003142882798853,-0.7713058478645674
4,1,0,0.0005313532478894164,4.667658131146871,-0.5833548046528968
4,9,1,0.0007145884691456705,-2.233747751407948,-4.723399202230413
4,10,1,0.0007733017855215749,1.8363055838560545,4.476183101285991
4,13,0,0.00017006118489581553,-0.9221871907129094,-2.9773114337177478
4,16,1,6.501442642308683e-05,0.37266525196469236,-0.3510457999240363
4,18,1,0.0001276052571508689,-1.0800100773115155,-1.8208030191251354
4,24,0,7.032781400664842e-05,1.2811686565522604,0.442502556396059
4,25,0,0.0002667918734695955,0.2127545324976255,0.3391742937036071
4,28,0,9.07850539910706e-05,-1.1027404734583488,-1.7876884276974676
4,29,1,9.367701961808444e-06,-0.0012683625578901638,-0.8332119198623726
5,1,0,0.00016894768261060567,-1.4583125746984802,-0.4217684694788808
5,9,0,0.00038606879375457324,-10.844201676221461,-0.8005190154766162
5,10,0,0.0007968726216897496,1.117229674964582,-0.3200628642591858
5,13,0,4.594937512680632e-05,-1.179429193799876,-1.513711071880899
5,16,0,0.0001603148534104356,-0.7253314857726629,-1.5546431003194594
5,18,0,0.00011865569812395541,-1.8721080568301356,-0.8938743158778643
5,24,0,3.63380917408045e-06,-0.9924538022216984,0.5605967161714551
5,25,0,0.0003205579263580555,0.03475016074224458,-1.4226678502601977
5,28,0,8.738887755403853e-05,0.29781134751070526,-0.07800395743325877
5,29,0,8.501089247926496e-05,0.5735186201958764,0.26107995838434495
