round,v0,vN,gain,truncated,warmup,phi_min,phi_max,phi_abs_mean,weight_min,weight_max,weight_ratio
1,0.11137897782063645,0.5139826422372228,0.40260366441658635,0,0,-0.004153809064609449,0.03033992285438767,0.013669800707168115,0.013045740434316822,0.07319654884552185,5.610762318478935
2,0.5332690453230472,0.5438765670202508,0.010607521697203581,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
3,0.5438765670202508,0.630665380906461,0.08678881388621018,0,0,-0.01810013622935514,0.021294127851504908,0.008535338847135698,0.010462551016931214,0.0750020552142072,7.168620262193586
4,0.6943105110896818,0.7155255544840887,0.02121504339440694,0,0,-0.014592574734811964,0.012444551591128263,0.004493972999035682,0.014897865719642916,0.05757418434014151,3.8645927828594697
5,0.7246865959498554,0.7410800385728061,0.016393442622950727,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
6,0.7410800385728061,0.7627772420443587,0.021697203471552573,0,0,-0.011988910318225656,0.010303760848601738,0.003330360012857603,0.017163527846485897,0.052322171826405674,3.048450895083218
7,0.7748312439729991,0.7680810028929604,-0.0067502410800386325,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
8,0.7680810028929604,0.8085824493731919,0.04050144648023146,0,0,-0.010460462873674062,0.01490356798457088,0.005416425586628095,0.017534371118717987,0.06232512041868867,3.554454277071645
9,0.8418514946962391,0.7970106075216972,-0.04484088717454193,0,0,-0.01699132111861138,0.009879459980713602,0.006012937962070074,0.014441238049430654,0.055347247130836615,3.8325832550775436
10,0.8379942140790743,0.8317261330761813,-0.006268081002893,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
11,0.8317261330761813,0.8326904532304725,0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
12,0.8326904532304725,0.8317261330761813,-0.0009643201542912649,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
13,0.8317261330761813,0.834619093539055,0.002892960462873684,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
14,0.834619093539055,0.8216007714561234,-0.013018322082931522,1,0,0.0,0.0,0.0,0.02723404255319149,0.039756838905775076,1.4598214285714286
